編號,詞,TF,DF
1,表示,100945,54184
2,台灣,81884,27124
3,今天,58701,38822
4,公司,44799,18932
5,市場,43295,18346
6,總統,41582,14326
7,美國,41515,16231
8,政府,40217,19108
9,今年,39867,21477
10,大陸,38863,13641
11,指出,38517,27718
12,中國,35156,15355
13,多雲,33746,1764
14,經濟,31227,13874
15,億元,31050,11605
16,目前,28748,20342
17,國際,28450,15016
18,投資,27548,10981
19,去年,26571,14724
20,可能,25882,16525
21,沒有,25121,15862
22,成長,24950,11053
23,報導,24506,15085
24,美元,23945,8563
25,未來,23887,15801
26,國家,23623,13724
27,陣風,22865,1208
28,發展,22166,12645
29,民眾,21991,11727
30,日本,21803,8233
31,全球,21551,11557
32,可以,21283,13799
33,銀行,21216,6674
34,認為,21188,14658
35,影響,21121,13998
36,產業,20906,8943
37,希望,20851,14009
38,包括,20679,16307
39,相關,20404,13988
40,委員,19846,10196
41,問題,19741,12198
42,時間,19646,13869
43,進行,19410,13995
44,台北,19352,10987
45,企業,19331,8381
46,產品,19224,8523
47,持續,19196,13408
48,董事,19173,9227
49,服務,19137,8886
50,陣雨,18754,1515
51,國民,18521,7320
52,合作,17606,9692
53,行政,17359,8822
54,民黨,17330,5809
55,雷雨,17290,1026
56,法院,16895,8518
57,營收,16743,5871
58,一個,16641,11329
59,政策,16622,9208
60,以及,16354,12873
61,金融,16292,6863
62,提供,16193,10704
63,台幣,15821,10548
64,人民,15381,7333
65,活動,15358,8430
66,工作,15354,8932
67,因此,15348,12163
68,因為,15328,11709
69,我們,15194,7857
70,第一,15093,11032
71,國大,15005,9350
72,代表,14992,9019
73,立法,14971,7676
74,媒體,14938,9558
75,指數,14894,5397
76,大學,14860,6571
77,透過,14839,10864
78,民進,14590,6025
79,進黨,14549,5974
80,成為,14473,11000
81,新台,14413,10003
82,上午,14334,10687
83,社會,14318,8129
84,不過,14298,11736
85,事長,14269,8930
86,增加,14242,9371
87,中心,14231,8213
88,下午,14189,9383
89,萬元,14181,6626
90,研究,14176,7295
91,部分,14003,10458
92,其中,13935,11541
93,短暫,13918,1421
94,主要,13900,10991
95,員會,13897,8348
96,安全,13882,7870
97,地區,13835,7596
98,英文,13650,6283
99,消費,13575,6652
100,調查,13555,6952
101,自己,13488,8574
102,就是,13434,9958
103,立委,13393,6527
104,中央,13338,9964
105,開始,13320,10310
106,集團,13283,6292
107,科技,13281,6765
108,其他,13184,10584
109,是否,13159,9530
110,人員,13142,7757
111,對於,13133,10174
112,基金,13124,5553
113,業者,13098,6486
114,計畫,13032,7458
115,北市,12971,5802
116,會議,12940,7442
117,關係,12850,6890
118,兩岸,12847,3974
119,學生,12831,4437
120,使用,12775,7499
121,發生,12761,8658
122,政院,12756,6470
123,交易,12706,6166
124,超過,12693,9622
125,公布,12684,9919
126,要求,12674,8671
127,英國,12651,4688
128,教育,12612,4945
129,顯示,12554,8854
130,蔡英,12426,5576
131,局部,12377,1616
132,中華,12342,5815
133,技術,12144,6249
134,他們,12135,7734
135,由於,12100,10106
136,個月,12078,8589
137,根據,12075,10162
138,已經,12072,9402
139,現在,12009,9028
140,支持,12000,7528
141,針對,11968,9531
142,重要,11954,9097
143,過去,11944,9282
144,手機,11918,4887
145,管理,11812,7032
146,表現,11763,7554
147,推出,11723,7021
148,國內,11615,7731
149,世界,11443,7275
150,造成,11410,8659
151,需求,11209,7506
152,同時,11148,9454
153,不會,11136,8329
154,處理,11129,6956
155,提出,11067,7842
156,推動,11036,7267
157,預期,10957,7140
158,如果,10944,7990
159,不是,10932,7955
160,記者,10864,8084
161,智慧,10814,4598
162,川普,10750,2266
163,最大,10679,7995
164,宣布,10604,8372
165,舉行,10575,8740
166,機會,10571,8013
167,報告,10557,6291
168,出現,10548,7841
169,電子,10502,5390
170,強調,10395,8591
171,系統,10362,5577
172,台股,10320,3423
173,文化,10271,4672
174,行動,10257,5979
175,院長,10256,5829
176,航空,10155,3243
177,結果,10095,7100
178,營運,9888,6071
