編號,詞,TF,DF
1,台灣,8276,2510
2,市場,7829,2951
3,公司,7770,2735
4,今年,6437,2822
5,表示,6376,3527
6,億元,5977,2005
7,銀行,5049,1154
8,去年,4562,2084
9,投資,4542,1598
10,董事,4472,1840
11,產品,4413,1649
12,營收,4332,1307
13,成長,4305,1838
14,產業,4139,1563
15,企業,3451,1294
16,目前,3413,2134
17,指出,3369,2305
18,全球,3286,1553
19,金融,3240,1010
20,發展,3240,1558
21,事長,3096,1672
22,大陸,3061,1136
23,業者,3051,1321
24,集團,3044,1182
25,未來,2996,1826
26,國際,2965,1396
27,服務,2915,1080
28,技術,2758,1068
29,客戶,2681,1142
30,手機,2597,874
31,鴻海,2564,475
32,智慧,2547,881
33,獲利,2496,1128
34,中國,2374,1063
35,品牌,2291,874
36,營運,2291,1342
37,科技,2287,1006
38,合作,2246,1181
39,經濟,2205,1098
40,美國,2200,1047
41,美元,2192,823
42,持續,2164,1438
43,成為,2129,1419
44,需求,2121,1237
45,可以,2077,1189
46,業務,2062,1005
47,包括,2058,1566
48,主要,2022,1477
49,國內,2012,1129
50,夏普,2005,263
51,政府,1995,956
52,相關,1991,1347
53,半年,1958,1013
54,銷售,1925,885
55,可能,1921,1233
56,影響,1905,1241
57,金管,1895,579
58,消費,1893,914
59,管會,1881,573
60,經營,1874,943
61,認為,1841,1336
62,推出,1814,1021
63,日本,1804,777
64,經理,1799,1093
65,第一,1787,1176
66,開發,1782,859
67,提供,1778,1086
68,增加,1766,1160
69,預期,1760,1126
70,因此,1750,1279
71,管理,1726,865
72,法人,1712,954
73,員工,1710,607
74,利率,1680,642
75,供應,1680,844
76,透過,1676,1113
77,股東,1673,675
78,創新,1628,823
79,蘋果,1620,484
80,出貨,1617,650
81,沒有,1606,1058
82,以及,1598,1222
83,應用,1581,737
84,希望,1572,1041
85,開始,1547,1067
86,電子,1536,759
87,積極,1532,1120
88,一個,1526,954
89,表現,1525,960
90,總經,1522,955
91,進行,1511,1059
92,面板,1491,345
93,由於,1489,1172
94,生產,1485,723
95,競爭,1483,925
96,系統,1468,691
97,年增,1436,752
98,可望,1416,963
99,計畫,1401,827
100,業績,1384,775
101,超過,1378,981
102,目標,1377,907
103,資金,1375,714
104,問題,1368,852
105,部分,1355,982
106,萬元,1354,698
107,機會,1352,965
108,提升,1338,973
109,價格,1329,712
110,其中,1327,1078
111,設計,1326,620
112,因為,1318,925
113,加上,1312,1077
114,就是,1308,921
115,對於,1293,971
116,工作,1291,630
117,時間,1276,898
118,在台,1274,848
119,過去,1267,945
120,使用,1263,688
121,中心,1260,644
122,研發,1260,602
123,最大,1258,954
124,交易,1256,612
125,每股,1253,651
126,主管,1243,712
127,廠商,1242,673
128,基金,1222,451
129,預估,1220,815
130,事業,1209,661
131,台積,1207,264
132,金控,1201,411
133,行動,1184,558
134,積電,1184,261
135,分析,1182,812
136,平台,1179,579
137,收購,1176,369
138,已經,1165,852
139,重要,1164,865
140,領域,1153,702
141,上市,1150,702
142,台北,1137,681
143,帶動,1136,821
144,以上,1133,835
145,電視,1130,316
146,顯示,1129,699
147,旗下,1123,816
148,兆豐,1119,224
149,製造,1119,576
150,國家,1115,686
151,除了,1114,893
152,純益,1113,401
153,個月,1111,741
154,網路,1105,526
155,成本,1104,674
156,進入,1102,810
157,聯網,1102,418
158,預計,1093,807
159,同時,1089,877
160,海外,1089,534
161,推動,1086,670
162,保險,1082,300
163,政策,1081,643
164,合併,1078,518
165,整體,1078,802
166,商品,1064,473
167,不過,1064,874
168,其他,1062,854
169,明年,1059,594
170,月營,1056,451
171,費者,1043,551
172,規模,1037,738
173,策略,1037,712
174,產能,1033,493
175,成立,1033,639
176,工業,1030,474
177,支付,1029,285
178,訂單,1028,540
179,相當,1028,829
180,現在,1024,731
181,台幣,1021,598
182,設備,1015,478
183,金額,1014,587
184,布局,1013,669
185,完成,1012,716
186,強調,1003,800
187,年的,1002,775
188,股價,1001,548
189,下半,1000,647
190,了解,998,784
191,也是,998,816
192,晶片,997,351
193,昨天,993,673
194,團隊,992,504
195,自己,984,566
196,導體,982,339
197,半導,982,339
198,維持,966,712
199,宣布,957,754
200,業的,952,687
201,大廠,949,660
202,分行,948,262
203,取得,946,637
204,公布,946,745
205,人才,944,406
206,新高,944,562
207,針對,943,756
208,雖然,934,773
209,新台,931,545
210,年第,930,611
211,整合,923,560
212,執行,922,695
213,壽險,921,205
214,長榮,921,152
215,是否,921,669
216,資料,919,530
217,風險,918,452
218,要求,918,600
219,機構,918,591
220,商機,913,596
221,稅後,907,433
222,投入,905,608
223,數位,901,368
224,擴大,900,669
225,社會,895,402
226,研究,891,529
227,必須,891,651
228,億美,886,412
229,不會,884,674
230,結合,884,538
231,年底,879,646
232,協助,879,586
233,資訊,879,522
234,事會,877,465
235,方式,877,669
236,方面,871,662
237,電信,867,300
238,機器,855,229
239,業界,853,622
240,大的,852,698
241,環境,850,555
242,年來,845,690
243,減少,840,557
244,同期,838,483
245,一年,837,628
246,根據,837,710
247,更多,837,651
248,證券,833,329
249,上半,832,499
250,不同,829,566
251,調整,828,590
252,需要,824,597
253,有機,823,632
254,近期,822,680
255,生技,820,209
256,富邦,819,251
257,年營,817,535
258,年同,817,480
259,趨勢,815,581
260,外資,814,348
261,關鍵,809,588
262,出現,807,605
263,至於,807,704
264,股權,804,381
265,都是,802,640
266,獲得,802,577
267,物聯,798,331
268,汽車,797,290
269,甚至,796,646
270,通過,794,562
271,世界,791,497
272,無法,791,615
273,平均,790,508
274,受到,790,661
275,為主,789,635
276,三星,786,279
277,人壽,785,209
278,成功,784,565
279,資本,778,434
280,航空,775,196
281,活動,772,420
282,太陽,770,177
283,另外,770,690
284,申請,769,391
285,數據,768,437
286,矽品,767,110
287,中華,766,338
288,能力,766,520
289,併購,764,334
290,毛利,764,412
291,人民,763,278
292,第二,762,589
293,提出,758,552
294,價值,756,451
295,規劃,756,567
296,醫療,755,274
297,日月,754,124
298,大幅,748,615
299,一步,746,638
300,季營,744,443
301,月光,744,117
302,近年,743,598
303,以來,742,602
304,應鏈,742,444
305,央行,741,211
306,景氣,741,473
307,中信,737,179
308,隨著,736,627
309,專業,735,458
310,亞洲,734,409
311,通路,733,387
312,報導,731,450
313,提高,729,570
314,台塑,723,131
315,方案,723,449
316,電腦,722,389
317,決定,722,549
318,長期,721,528
319,股票,721,329
320,處理,720,437
321,動能,719,539
322,併營,719,347
323,市占,717,424
324,參與,713,489
325,模式,713,469
326,的產,710,512
327,器人,709,177
328,創業,709,254
329,解決,709,474
330,第三,709,496
331,遊戲,708,201
332,傳統,707,497
333,如果,706,534
334,南亞,703,291
335,代表,702,510
336,的是,701,598
337,民幣,701,240
338,國泰,700,220
339,陸續,698,594
340,現金,697,365
341,工廠,694,365
342,勞工,690,174
343,今天,686,463
344,資源,686,454
345,發科,686,185
346,大學,685,323
347,全年,684,442
348,資產,682,357
349,的新,682,561
350,媒體,681,419
351,聯發,680,186
352,許多,679,532
353,陽能,678,160
354,共同,675,534
355,資人,674,345
356,民眾,671,382
357,人員,670,385
358,受惠,669,514
359,副總,669,497
360,開放,669,355
361,的人,669,450
362,年前,666,527
363,安全,664,356
364,內容,664,409
365,險業,662,201
366,代工,660,337
367,裝置,659,360
368,達到,657,526
369,高達,656,542
370,行政,655,375
371,最高,652,510
372,穩定,651,491
373,也將,648,556
374,正式,648,537
375,生活,646,381
376,較去,645,428
377,勞動,644,191
378,元的,644,508
379,功能,642,390
380,造成,642,502
381,看好,639,489
382,觀察,637,533
383,調查,636,346
384,比重,636,441
385,新的,636,506
386,營業,635,392
387,個人,634,431
388,後純,634,290
389,月底,630,459
390,擔任,630,402
391,之後,629,517
392,製程,629,274
393,當地,629,380
394,挑戰,629,468
395,吸引,628,496
396,不是,628,494
397,三大,627,488
398,轉型,627,366
399,昨日,627,471
400,優勢,626,462
401,用戶,625,232
402,達電,623,172
403,不僅,622,517
404,關注,622,524
405,持股,621,310
406,快速,620,485
407,商業,618,410
408,統計,617,469
409,打造,617,437
410,也有,614,535
411,舉行,613,553
412,擁有,613,496
413,豐銀,612,184
414,健康,611,274
415,這些,611,463
416,財政,609,219
417,降低,608,480
418,外界,607,485
419,我們,606,287
420,年度,605,423
421,狀況,603,468
422,據了,603,514
423,人士,602,431
424,才能,601,470
425,此外,599,541
426,還有,597,513
427,經驗,596,440
428,發行,596,228
429,雙方,595,402
430,專利,594,154
431,政部,594,226
432,來台,593,329
433,日前,592,498
434,之一,591,495
435,華航,591,111
436,自動,591,266
437,階段,590,457
438,結果,590,415
439,也會,587,502
440,舉辦,585,429
441,很多,584,412
442,關係,584,446
443,內部,583,435
444,財務,583,421
445,規定,581,356
446,因應,580,469
447,只要,580,470
448,貨量,580,303
449,空間,580,435
450,子公,579,376
451,險公,577,196
452,為了,577,470
453,情況,576,459
454,融業,574,311
455,還是,573,445
456,將在,570,491
457,場的,570,468
458,是一,570,444
459,則是,569,472
460,統一,569,160
461,當時,569,378
462,台新,568,145
463,每年,567,452
464,此次,567,426
465,創造,566,425
466,國大,565,427
467,出的,565,488
468,來的,565,484
469,如何,564,407
470,報告,563,373
471,也不,563,478
472,行銷,563,341
473,累計,563,382
474,有一,563,468
475,雲端,561,220
476,進一,560,511
477,導致,559,449
478,一定,559,448
479,的成,558,468
480,特別,558,432
481,展望,557,439
482,公開,555,294
483,的資,554,425
484,加入,553,419
485,要的,549,467
486,例如,548,430
487,衰退,548,339
488,地區,547,376
