id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
"3980300371","20140926T000000",142000,0,0,290,20875,"1",0,0,1,1,290,0,1963,0,"98024",47.5308,-121.888,1620,22850
"2856101479","20140701T000000",276000,1,0.75,370,1801,"1",0,0,5,5,370,0,1923,0,"98117",47.6778,-122.389,1340,5000
"1723049033","20140620T000000",245000,1,0.75,380,15000,"1",0,0,3,5,380,0,1963,0,"98168",47.481,-122.323,1170,15000
"1222029077","20141029T000000",265000,0,0.75,384,213444,"1",0,0,3,4,384,0,2003,0,"98070",47.4177,-122.491,1920,224341
"8655900162","20150219T000000",156000,1,0.75,470,15000,"1",0,0,3,4,470,0,1947,0,"98014",47.6554,-121.908,1730,22500
"0203100460","20140924T000000",400000,1,1,530,13679,"1",0,0,4,6,530,0,1949,0,"98053",47.6422,-121.954,1930,20624
"0623049232","20140715T000000",115000,2,0.75,550,7980,"1",0,0,3,5,550,0,1952,0,"98146",47.511,-122.348,1330,7980
"6453300055","20141007T000000",188000,1,1,550,16345,"1",0,0,3,4,550,0,1945,0,"98106",47.5181,-122.339,1100,9240
"2461900845","20140903T000000",310000,1,1,570,6000,"1",0,0,2,5,570,0,1918,0,"98136",47.5517,-122.385,1530,6000
"7129800036","20150114T000000",109000,2,0.5,580,6900,"1",0,0,3,5,580,0,1941,0,"98118",47.5135,-122.262,1570,5040
"4067600255","20140522T000000",398000,2,1,590,10945,"1.5",0,0,3,5,590,0,1983,0,"98010",47.3364,-122.033,2020,15180
"3361401011","20150219T000000",110000,2,1,600,6120,"1",0,0,3,5,600,0,1943,0,"98168",47.4997,-122.317,1060,6120
"2354300456","20150311T000000",130000,2,1,600,1500,"1",0,0,4,4,600,0,1900,0,"98027",47.5289,-122.033,1130,6000
"5702500050","20141104T000000",280000,1,0,600,24501,"1",0,0,2,3,600,0,1950,0,"98045",47.5316,-121.749,990,22549
"7625702615","20150114T000000",400000,2,1,610,4560,"1",0,0,3,5,610,0,1918,0,"98136",47.5498,-122.383,930,1392
"0123039336","20140611T000000",148000,1,1,620,8261,"1",0,0,3,5,620,0,1939,0,"98106",47.5138,-122.364,1180,8244
"8150100265","20141118T000000",255000,2,1,620,4760,"1",0,0,3,6,620,0,1941,0,"98126",47.5292,-122.376,620,4760
"3364900156","20150317T000000",382888,1,1,620,2380,"1",0,0,3,6,620,0,1900,0,"98115",47.6746,-122.326,980,3570
"2768301490","20140626T000000",402000,2,1,620,2475,"1",0,0,5,6,620,0,1911,0,"98107",47.6655,-122.371,1290,2475
"0123039279","20140711T000000",165000,2,1,640,7768,"1",0,0,3,6,640,0,1942,0,"98106",47.515,-122.359,840,7424
"9232400055","20140917T000000",279200,1,1,640,6350,"1",0,0,3,5,640,0,1939,0,"98117",47.6976,-122.359,1270,6350
"7625700020","20140929T000000",340000,1,1,640,4800,"1",0,0,3,6,640,0,1918,0,"98136",47.5551,-122.382,1250,2847
"5381000082","20150108T000000",185000,2,1,670,6750,"1",0,0,4,5,670,0,1947,0,"98188",47.4521,-122.283,1700,11520
"7454000110","20150127T000000",202000,2,1,670,7844,"1",0,0,3,6,670,0,1942,0,"98126",47.5165,-122.372,740,7218
"2124049254","20140717T000000",235000,2,1,670,5600,"1",0,0,3,6,670,0,1903,0,"98108",47.5498,-122.304,1960,7176
"3644100073","20141122T000000",245000,2,1,670,1675,"1",0,0,5,6,670,0,1960,0,"98144",47.5918,-122.295,1220,1740
"7454000555","20150113T000000",272000,2,1,670,6300,"1",0,0,4,6,670,0,1942,0,"98126",47.5145,-122.374,740,6300
"2391602350","20150213T000000",334000,1,1,670,5750,"1",0,0,3,7,670,0,1942,2011,"98116",47.5624,-122.394,1170,5750
"1023059108","20150430T000000",390000,2,1,670,11505,"1",0,0,3,5,670,0,2003,0,"98059",47.499,-122.157,2180,11505
"2919201385","20141113T000000",275000,2,1,680,4190,"1",0,0,2,5,680,0,1906,0,"98103",47.6901,-122.358,1070,4175
"0739000035","20150116T000000",291970,1,1,680,21727,"1",0,0,3,5,680,0,1952,1995,"98058",47.446,-122.175,1470,19406
