Rating,Career,Fitness,Humor,Religiosity,Interests
1,FineArts,NotFit,Serious,SomRel,ShareSome
1,Business,VeryFit,Serious,VeryRel,VeryDiff
1,Business,NotFit,SomeFunny,NotRel,VeryDiff
2,Science,VeryFit,Serious,SomRel,ShareSome
2,Business,SomeFit,VeryFunny,VeryRel,ShareSome
1,FineArts,NotFit,VeryFunny,VeryRel,VeryDiff
1,Science,NotFit,SomeFunny,VeryRel,Identical
6,Business,SomeFit,VeryFunny,SomRel,Identical
2,Science,SomeFit,Serious,NotRel,VeryDiff
5,FineArts,VeryFit,SomeFunny,NotRel,Identical
2,FineArts,SomeFit,SomeFunny,VeryRel,ShareSome
2,Science,NotFit,VeryFunny,NotRel,ShareSome
1,Business,NotFit,Serious,SomRel,Identical
5,FineArts,VeryFit,VeryFunny,SomRel,VeryDiff
2,Business,VeryFit,SomeFunny,NotRel,ShareSome
4,FineArts,SomeFit,Serious,NotRel,Identical
5,Science,SomeFit,SomeFunny,SomRel,VeryDiff
2,Science,VeryFit,VeryFunny,VeryRel,Identical
