tag,text
P,店家很給力，快遞也是相當快，第三次光顧啦
N,這樣的配置用Vista系統還是有點卡。 指紋收集器。 沒送原裝滑鼠還需要自己買，不太好。
P,不錯，在同等檔次酒店中應該是值得推薦的！
N,哎！ 不會是蒙牛乾的吧 嚴懲真凶！
N,空尤其是三立電視臺女主播做的序尤其無趣像是硬湊那麼多字
N,明明買了6本書，只到了3本，也沒有說是什麼原因，以後怎麼信的過？？？？？？？？？？？
P,看了一下感覺還可以
P,散熱還不錯，玩遊戲cpu溫度和硬碟溫度都在56以下，     速度很好，顯示卡也不錯
P,外觀好看，白色的自己貼紙也方便，vista執行起來速度也還不錯.屬於主流配置了。一般用用可以的
N,水超級小 用的時候還要先修理一下花灑 售後還說是水壓問題 說本來標配都是這樣還要自己重新換一個
N,"太差啦,不知道是怎麼評的4星.結帳時還非說有房間點了歌,每首2圓,懶得跟他廢話就多掏了4塊錢."
P, 覺得這兒牛奶怎麼樣呢。蒙牛霸氣外露，特倫蘇
N,"外觀可以，系統真難裝,LINUX 系統根本不能裝 GHOST 版本的XP 而且剛買就降100"
P,外觀很有檔次，如果有紅色的話女生用剛好，很漂亮，。。同價位中配置高，很實惠了。
P,今天我用吸馬桶的棒子買了一個我喜歡吃的蒙牛大果粒。。。好有樂趣啊。。。吸著它走了。。。
N,我一直不明白為什麼這本書會有這麼毒人關注，還是要保持清醒的頭腦，認真鑑別
P,價效比不錯，鍵盤比較舒服。螢幕的現實效果很好，小巧輕便。自帶的視訊軟體比較好用。
P,1、原來說系統是配DOS，收到的卻是正版Vista 2、原來說硬碟是250G，收到的是320G
N,看過嘟嘟和巴豆後，就覺得這本書買怨了。
P,原來說系統是配DOS，收到的卻是正版Vista 2、原來說硬碟是250G，收到的是320G
N,"說實話,做工不怎麼樣~很脆弱的樣子,ThinkPad被聯想做成這樣,無語"
N,訊號差得要命。軟體容易出問題。動不動就死。說不完。電池不好。
N,在故事中穿插著知識，而且很有趣味性，讓孩子在聽故事的同時，能學到不少知識，很好的一套書。
N,我兩週前定購了這本書，到現在都未收到！速度太慢了！
P,在我們還在休假的時候，蒙牛卻還在很辛苦的加班為我們生產良心奶，真的是“感動中國，感動業界”啊！
P,蒙牛那個純冰是我所有所有裡頭最愛吃的！！！
P,鈴聲大，可拍照，可錄音，有耳機，有資料線，價格適中
N,螢幕轉軸有點鬆，不知道是不是個例 電池使用時間實在是一般 在網上找不到讀卡器驅動
P,除了價位偏高之外，別的沒得說。尤其是房間內的純水系統，彰顯了人性化。
N,非得到了冬天才想喝牛奶蒙牛的牛奶太難喝了，一股奶粉味
N,蒙牛早餐奶居難喝
N,是我們有毛病，蒙牛伊利沒毛病！ 分享圖片
N,地方惡偏，早餐可以比美招待所，服務員素質巨差，堅決不去第二趟
P,電腦的外觀，效能都沒得說啊！相信以後是不會再選擇其他品牌的電腦了！
N,國航發給的蒙牛早餐！太狠了，買打折機票的一個都不能放！
P,很好。客服和安裝人員都很好
